City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Chuadanga,86.33,107.28,6.02,1.27,433.92,0.12,173.09,5.7,187.76666666666665,Moderate,104.85333333333334,187.76666666666665,7.525,0.15,1.425,2752.470588235294,212.72500000000002
Jessore,92.38,112.46,13.95,1.99,433.92,0.17,185.97,4.62,207.9333333333333,Poor,108.30666666666666,207.9333333333333,17.4375,0.2125,1.155,2752.470588235294,244.925
Jhenaidah,97.37,118.57,10.97,1.93,467.3,0.16,185.97,5.83,224.5666666666667,Poor,112.38,224.5666666666667,13.7125,0.2,1.4575,2948.823529411765,244.925
Khulna,89.21,108.68,12.99,1.93,413.9,0.16,177.38,4.12,197.36666666666665,Moderate,105.78666666666668,197.36666666666665,16.2375,0.2,1.03,2634.705882352941,223.45
Kushtia,92.54,114.28,9.18,2.55,433.92,0.24,183.11,5.32,208.4666666666667,Poor,109.52,208.4666666666667,11.475,0.3,1.33,2752.470588235294,237.77500000000003
Magura,98.1,117.28,13.35,2.31,433.92,0.2,194.55,4.5,226.99999999999997,Poor,111.52,226.99999999999997,16.6875,0.25,1.125,2752.470588235294,266.375
Meherpur,85.52,106.73,6.38,1.56,440.6,0.15,174.52,5.7,185.06666666666666,Moderate,104.48666666666666,185.06666666666666,7.975,0.1875,1.425,2791.764705882353,216.3
Narail,88.64,107.69,12.88,1.93,413.9,0.17,180.24,4.37,195.46666666666667,Moderate,105.12666666666667,195.46666666666667,16.1,0.2125,1.0925,2634.705882352941,230.60000000000002
Satkhira,114.38,132.17,25.27,3.98,460.63,0.31,185.97,3.14,281.26666666666665,Poor,121.44666666666666,281.26666666666665,31.5875,0.3875,0.785,2909.5882352941176,244.925
Dhaka,149.9,204.2,9.06,100.08,2296.45,0.01,42.2,29.89,323.0,Very Poor,169.46666666666664,323.0,11.325,0.0125,7.4725,13708.529411764704,42.2
Faridpur,124.48,159.16,7.09,32.22,807.76,0.0,64.37,41.04,303.44615384615383,Very Poor,139.44,303.44615384615383,8.8625,0.0,10.26,4951.529411764706,64.37
Gazipur,104.44,137.68,5.78,13.88,607.49,0.0,80.82,30.15,248.13333333333333,Poor,125.12,248.13333333333333,7.225,0.0,7.5375,3773.470588235294,80.82
Gopalganj,108.28,132.49,13.95,19.88,834.47,0.0,92.98,36.48,260.93333333333334,Poor,121.66000000000001,260.93333333333334,17.4375,0.0,9.12,5108.64705882353,92.97999999999999
Jamalpur,115.78,142.93,17.88,19.88,787.74,0.0,108.72,22.04,285.93333333333334,Poor,128.62,285.93333333333334,22.35,0.0,5.51,4833.764705882353,112.82352941176471
Kishoreganj,116.3,146.63,6.26,20.22,827.79,0.0,85.83,32.93,287.66666666666663,Poor,131.08666666666667,287.66666666666663,7.825,0.0,8.2325,5069.35294117647,85.83
Madaripur,112.37,147.19,6.02,24.33,807.76,0.01,59.37,35.97,274.56666666666666,Poor,131.46,274.56666666666666,7.525,0.0125,8.9925,4951.529411764706,59.37
Manikganj,117.01,163.86,8.7,13.71,781.06,0.0,97.28,56.74,290.03333333333336,Poor,142.57333333333335,290.03333333333336,10.874999999999998,0.0,14.185,4794.470588235294,97.28
Munshiganj,140.68,206.66,18.12,39.76,1335.14,0.0,114.44,69.92,315.9076923076923,Very Poor,171.10666666666668,315.9076923076923,22.65,0.0,17.48,8053.764705882354,121.23529411764706
Mymensingh,107.3,135.96,7.87,10.54,640.87,0.0,105.86,26.85,257.66666666666663,Poor,123.97333333333334,257.66666666666663,9.8375,0.0,6.7125,3969.823529411765,108.61764705882354
Narayanganj,259.73,323.82,23.37,153.54,5447.39,52.75,0.05,63.33,407.4846153846154,Severe,273.82,407.4846153846154,29.2125,65.9375,15.8325,32243.470588235294,0.05
Narsingdi,103.41,135.32,6.32,19.02,700.95,0.0,95.84,26.35,244.7,Poor,123.54666666666665,244.7,7.9,0.0,6.5875,4323.235294117647,95.84
Netrokona,75.64,87.79,2.24,10.2,627.52,0.0,55.08,16.47,152.13333333333333,Moderate,87.79,152.13333333333333,2.8000000000000003,0.0,4.1175,3891.294117647059,55.08
Rajbari,117.07,155.1,5.6,23.65,841.14,0.0,57.22,46.1,290.2333333333333,Poor,136.73333333333332,290.2333333333333,7.0,0.0,11.525,5147.882352941177,57.22
Shariatpur,90.12,110.81,9.42,4.67,440.6,0.0,138.76,7.79,200.4,Poor,107.20666666666666,200.4,11.775,0.0,1.9475,2791.764705882353,157.0
Sherpur,106.12,129.32,6.86,11.82,654.22,0.0,87.98,33.44,253.73333333333335,Poor,119.54666666666665,253.73333333333335,8.575,0.0,8.36,4048.3529411764707,87.98
Tangail,115.12,145.7,13.23,14.74,640.87,0.0,134.47,21.28,283.73333333333335,Poor,130.46666666666667,283.73333333333335,16.5375,0.0,5.32,3969.823529411765,150.69117647058823
Bogra,93.79,122.93,4.77,24.68,761.03,0.0,72.96,34.45,212.63333333333335,Poor,115.28666666666668,212.63333333333335,5.9624999999999995,0.0,8.6125,4676.64705882353,72.96
